ts,vault,vault_name,coin,delta_usd,szi,funding_rate
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,SCR,-2.777717,32219.5541666667,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,SOL,191.455853,-7751.6533333333,5.9873e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,SOPH,39.369106,2605057.2083333335,-1.57877e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,RUNE,11.29827,-45164.4375,8.0042e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,PROMPT,-9.349232,269262.7083333333,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,REZ,32.518472,1803778.125,-5.78604e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,SPX,-22.960558,72351.725,8.0291e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,POPCAT,15.677807,-183651.5416666667,1.16477e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,S,-12.312461,278666.625,6.0577e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,PAXG,1.064042,-1.059875,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,ONDO,30.341115,-111635.5,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,PYTH,-3.922657,-323165.9583333333,-4.4637e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,NEIROETH,-26.554157,772510.6666666666,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,NEO,-0.313774,-941.8279166667,-2.2235e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,NIL,16.226152,-202181.0,1.1586e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,NOT,-11.452518,18718233.583333332,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,NXPC,-18.469862,-166616.2083333333,-5.2171e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,OGN,1.848614,-108955.625,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,OM,14.693715,16942.4583333333,-0.0001509854
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,ORDI,51.83835,-19277.4675,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,STG,-1.608489,33972.4166666667,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,OP,-12.644466,123565.8125,6.5161e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,PENDLE,8.452706,-7636.375,1.16245e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,PENGU,0.436391,-4730392.791666667,5.63e-08
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,PEOPLE,43.411493,-9669256.125,1.02392e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,PNUT,13.636857,-392076.55,6.3283e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,POL,-3.809431,-259243.7083333333,-3.029e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,NEAR,4.594251,-26455.3,2.9907e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,OMNI,780.523796,22542.5683333333,-0.0003186851
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,POLYX,40.742497,-1422427.0,8.9357e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,SAGA,23.406954,-394896.5916666666,1.025e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,STRK,37.913929,-1103093.6375,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,SYRUP,-1.346665,153033.2916666667,9.601e-07
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,ZEN,-2.023895,873.5170833333,1.24255e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,SUI,0.948061,18966.9,-6.203e-07
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,ZEREBRO,5.140935,-543722.5416666666,1.48341e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,ZETA,-1.778826,74384.3583333333,5.419e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,ZK,-36.300344,2368126.7916666665,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,WLD,8.351163,-35389.7541666667,1.00043e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,ZORA,0.096832,-4270.75,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,WIF,-12.075958,-151781.7083333333,-3.741e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,YGG,18.824976,-428946.375,1.20818e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,TRX,-7.188526,116162.2083333333,7.8846e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,ZRO,-41.068183,-22558.3166666667,-4.42989e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,kLUNC,12.694826,-730738.5833333334,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,kBONK,42.134929,-5553424.083333333,1.20448e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,MORPHO,13.436069,-26682.1958333333,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,kSHIB,-1.742068,-10571112.75,-5.768e-07
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,XAI,-15.037571,2870306.2583333333,4.4975e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,kPEPE,0.853967,5240497.625,-7.16e-07
